Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Sensitivity,Trust_Item1,Trust_Item2,Trust_Item3
353,21,Female,Year 3,Campus session,Relevant Memory,High Sensitivity,5,5,5
354,20,Female,Year 1,Campus session,Relevant Memory,High Sensitivity,5,5,4
355,20,Male,Year 3,Online/network test,Relevant Memory,High Sensitivity,5,5,5
356,22,Female,Year 1,Campus session,Relevant Memory,High Sensitivity,6,6,5
357,20,Male,Year 2,Campus session,Relevant Memory,High Sensitivity,4,4,4
358,22,Female,Year 3,Campus session,Relevant Memory,High Sensitivity,7,6,6
359,21,Male,Year 3,Campus session,Relevant Memory,High Sensitivity,5,6,5
360,44,Male,Resident,Campus resident session,Relevant Memory,High Sensitivity,5,5,4
361,20,Male,Year 3,Online/network test,Relevant Memory,High Sensitivity,4,3,4
362,47,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,4,6,5
363,19,Male,Year 1,Online/network test,Relevant Memory,High Sensitivity,4,7,5
364,50,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,6,4,4
365,21,Female,Year 3,Online/network test,Relevant Memory,High Sensitivity,4,6,4
366,22,Female,Year 2,Campus session,Relevant Memory,High Sensitivity,5,5,4
367,20,Female,Year 2,Online/network test,Relevant Memory,High Sensitivity,4,4,5
368,19,Female,Year 1,Campus session,Relevant Memory,High Sensitivity,7,5,6
369,19,Female,Year 1,Campus session,Relevant Memory,High Sensitivity,5,6,6
370,19,Female,Year 1,Online/network test,Relevant Memory,High Sensitivity,7,6,7
371,21,Male,Year 3,Campus session,Relevant Memory,High Sensitivity,5,4,3
372,20,Female,Year 2,Campus session,Relevant Memory,High Sensitivity,5,5,5
373,50,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,4,6,5
374,18,Female,Year 3,Campus session,Relevant Memory,High Sensitivity,4,6,4
375,21,Female,Year 3,Campus session,Relevant Memory,High Sensitivity,3,5,4
376,21,Female,Year 2,Online/network test,Relevant Memory,High Sensitivity,7,6,6
377,31,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,7,7,7
378,34,Male,Resident,Campus resident session,Relevant Memory,High Sensitivity,4,6,5
379,19,Female,Year 1,Online/network test,Relevant Memory,High Sensitivity,7,7,7
380,19,Female,Year 1,Campus session,Relevant Memory,High Sensitivity,5,5,6
381,21,Female,Year 1,Online/network test,Relevant Memory,High Sensitivity,4,6,6
382,21,Male,Year 2,Campus session,Relevant Memory,High Sensitivity,5,4,6
383,18,Female,Year 2,Campus session,Relevant Memory,High Sensitivity,4,4,5
384,19,Female,Year 3,Online/network test,Relevant Memory,High Sensitivity,5,5,5
385,20,Male,Year 3,Campus session,Relevant Memory,High Sensitivity,5,5,6
386,19,Female,Year 3,Online/network test,Relevant Memory,High Sensitivity,7,6,5
387,19,Prefer not to say,Year 2,Campus session,Relevant Memory,High Sensitivity,6,5,4
388,46,Male,Resident,Campus resident session,Relevant Memory,High Sensitivity,6,7,7
389,46,Male,Resident,Campus resident session,Relevant Memory,High Sensitivity,6,6,6
390,21,Female,Year 3,Campus session,Relevant Memory,High Sensitivity,5,4,5
391,46,Male,Resident,Campus resident session,Relevant Memory,High Sensitivity,5,5,6
392,74,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,5,5,3
393,46,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,6,5,5
394,19,Prefer not to say,Year 3,Online/network test,Relevant Memory,High Sensitivity,4,5,5
395,21,Male,Year 3,Online/network test,Relevant Memory,High Sensitivity,6,5,5
396,20,Prefer not to say,Year 1,Campus session,Relevant Memory,High Sensitivity,6,6,6
397,18,Female,Year 1,Campus session,Relevant Memory,High Sensitivity,5,5,7
398,19,Male,Year 3,Campus session,Relevant Memory,High Sensitivity,6,7,6
399,50,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,4,4,4
400,22,Male,Year 1,Online/network test,Relevant Memory,High Sensitivity,5,4,4
401,21,Female,Year 3,Online/network test,Relevant Memory,High Sensitivity,5,5,5
402,18,Female,Year 3,Campus session,Relevant Memory,High Sensitivity,5,5,6
403,49,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,4,3,2
404,19,Male,Year 1,Online/network test,Relevant Memory,High Sensitivity,7,7,6
405,19,Male,Year 3,Campus session,Relevant Memory,High Sensitivity,5,7,5
406,21,Female,Year 1,Online/network test,Relevant Memory,High Sensitivity,5,6,7
407,20,Female,Year 3,Online/network test,Relevant Memory,High Sensitivity,4,4,5
408,47,Female,Resident,Campus resident session,Relevant Memory,High Sensitivity,6,6,6
409,39,Male,Resident,Campus resident session,Relevant Memory,High Sensitivity,6,5,5
410,19,Female,Year 3,Online/network test,Relevant Memory,High Sensitivity,5,4,4
