Study_File,Participant_ID,Age,Gender,Grade,Testing_Channel
study2_memory_data.csv,224,20,Male,Year 3,Online/network test
study2_memory_data.csv,225,42,Male,Resident,Campus resident session
study2_memory_data.csv,226,21,Female,Year 1,Campus session
study2_memory_data.csv,227,44,Female,Resident,Campus resident session
study2_memory_data.csv,228,41,Female,Resident,Campus resident session
study2_memory_data.csv,229,19,Female,Year 1,Campus session
study2_memory_data.csv,230,21,Female,Year 2,Campus session
study2_memory_data.csv,231,26,Male,Resident,Campus resident session
study2_memory_data.csv,232,41,Female,Resident,Campus resident session
study2_memory_data.csv,233,20,Male,Year 3,Campus session
study2_memory_data.csv,234,21,Female,Year 3,Campus session
study2_memory_data.csv,235,22,Female,Year 3,Campus session
study2_memory_data.csv,236,20,Female,Year 1,Campus session
study2_memory_data.csv,237,19,Female,Year 1,Online/network test
study2_memory_data.csv,238,20,Female,Year 2,Online/network test
study2_memory_data.csv,239,41,Female,Resident,Campus resident session
study2_memory_data.csv,240,22,Male,Year 3,Campus session
study2_memory_data.csv,241,20,Male,Year 3,Campus session
study2_memory_data.csv,242,18,Female,Year 2,Online/network test
study2_memory_data.csv,243,19,Male,Year 2,Online/network test
study2_memory_data.csv,244,22,Male,Year 2,Campus session
study2_memory_data.csv,245,19,Female,Year 2,Online/network test
study2_memory_data.csv,246,63,Female,Resident,Campus resident session
study2_memory_data.csv,247,40,Female,Resident,Campus resident session
study2_memory_data.csv,248,19,Female,Year 3,Campus session
study2_memory_data.csv,249,44,Female,Resident,Campus resident session
study2_memory_data.csv,250,20,Female,Year 2,Campus session
study2_memory_data.csv,251,42,Male,Resident,Campus resident session
study2_memory_data.csv,252,19,Male,Year 2,Campus session
study2_memory_data.csv,253,21,Female,Year 3,Campus session
study2_memory_data.csv,254,32,Male,Resident,Campus resident session
study2_memory_data.csv,255,18,Female,Year 3,Campus session
study2_memory_data.csv,256,19,Female,Year 2,Campus session
study2_memory_data.csv,257,51,Male,Resident,Campus resident session
study2_memory_data.csv,258,47,Female,Resident,Campus resident session
study2_memory_data.csv,259,48,Female,Resident,Campus resident session
study2_memory_data.csv,260,18,Female,Year 2,Campus session
study2_memory_data.csv,261,21,Male,Year 1,Online/network test
study2_memory_data.csv,262,19,Prefer not to say,Year 3,Campus session
study2_memory_data.csv,263,18,Male,Year 3,Campus session
study2_memory_data.csv,264,20,Female,Year 3,Campus session
study2_memory_data.csv,265,20,Male,Year 2,Online/network test
study2_memory_data.csv,266,18,Female,Year 2,Online/network test
study2_memory_data.csv,267,21,Female,Year 2,Online/network test
study2_memory_data.csv,268,20,Male,Year 2,Campus session
study2_memory_data.csv,269,34,Male,Resident,Campus resident session
study2_memory_data.csv,270,21,Female,Year 3,Online/network test
study2_memory_data.csv,271,53,Male,Resident,Campus resident session
study2_memory_data.csv,272,19,Female,Year 3,Campus session
study2_memory_data.csv,273,21,Female,Year 1,Campus session
study2_memory_data.csv,274,22,Female,Year 1,Campus session
study2_memory_data.csv,275,29,Male,Resident,Campus resident session
study2_memory_data.csv,276,46,Prefer not to say,Resident,Campus resident session
study2_memory_data.csv,277,22,Male,Year 2,Campus session
study2_memory_data.csv,278,21,Male,Year 2,Online/network test
study2_memory_data.csv,279,59,Male,Resident,Campus resident session
study2_memory_data.csv,280,35,Female,Resident,Campus resident session
study2_memory_data.csv,281,21,Male,Year 2,Campus session
study2_memory_data.csv,282,21,Female,Year 2,Online/network test
study2_memory_data.csv,283,19,Male,Year 2,Campus session
study2_memory_data.csv,284,20,Female,Year 3,Campus session
study2_memory_data.csv,285,18,Prefer not to say,Year 1,Campus session
study2_memory_data.csv,286,22,Male,Year 3,Campus session
study2_memory_data.csv,287,21,Male,Year 2,Campus session
study2_memory_data.csv,288,21,Female,Year 3,Online/network test
study2_memory_data.csv,289,19,Female,Year 2,Campus session
study3_memory_data.csv,1,21,Male,Year 3,Campus session
study3_memory_data.csv,2,37,Female,Resident,Campus resident session
study3_memory_data.csv,3,19,Male,Year 1,Campus session
study3_memory_data.csv,4,19,Male,Year 1,Campus session
study3_memory_data.csv,5,19,Male,Year 1,Online/network test
study3_memory_data.csv,6,22,Male,Year 1,Online/network test
study3_memory_data.csv,7,21,Female,Year 1,Online/network test
study3_memory_data.csv,8,19,Male,Year 2,Online/network test
study3_memory_data.csv,9,18,Female,Year 1,Online/network test
study3_memory_data.csv,10,20,Female,Year 2,Campus session
study3_memory_data.csv,11,21,Male,Year 2,Online/network test
study3_memory_data.csv,12,22,Female,Year 3,Online/network test
study3_memory_data.csv,13,42,Male,Resident,Campus resident session
study3_memory_data.csv,14,22,Male,Year 3,Online/network test
study3_memory_data.csv,15,23,Female,Year 2,Online/network test
study3_memory_data.csv,16,38,Male,Resident,Campus resident session
study3_memory_data.csv,17,22,Female,Year 2,Campus session
study3_memory_data.csv,18,19,Female,Year 1,Online/network test
study3_memory_data.csv,19,20,Female,Year 1,Campus session
study3_memory_data.csv,20,22,Male,Year 2,Campus session
study3_memory_data.csv,21,18,Female,Year 2,Campus session
study3_memory_data.csv,22,19,Female,Year 2,Campus session
study3_memory_data.csv,23,27,Female,Resident,Campus resident session
study3_memory_data.csv,24,22,Female,Year 3,Online/network test
study3_memory_data.csv,25,21,Female,Year 2,Campus session
study3_memory_data.csv,26,20,Female,Year 2,Online/network test
study3_memory_data.csv,27,21,Male,Year 1,Campus session
study3_memory_data.csv,28,20,Female,Year 2,Online/network test
study3_memory_data.csv,29,21,Male,Year 3,Online/network test
study3_memory_data.csv,30,20,Female,Year 3,Online/network test
study3_memory_data.csv,31,19,Male,Year 2,Campus session
study3_memory_data.csv,32,20,Female,Year 3,Online/network test
study3_memory_data.csv,33,42,Female,Resident,Campus resident session
study3_memory_data.csv,34,20,Male,Year 1,Campus session
study3_memory_data.csv,35,20,Male,Year 2,Online/network test
study3_memory_data.csv,36,19,Female,Year 2,Online/network test
study3_memory_data.csv,37,33,Female,Resident,Campus resident session
study3_memory_data.csv,38,19,Female,Year 2,Online/network test
study3_memory_data.csv,39,18,Female,Year 2,Campus session
study3_memory_data.csv,40,19,Male,Year 2,Campus session
study3_memory_data.csv,41,19,Male,Year 1,Online/network test
study3_memory_data.csv,42,20,Male,Year 1,Campus session
study3_memory_data.csv,43,18,Female,Year 1,Campus session
study3_memory_data.csv,44,19,Female,Year 3,Campus session
study3_memory_data.csv,45,21,Female,Year 3,Campus session
study3_memory_data.csv,46,19,Male,Year 1,Campus session
study3_memory_data.csv,47,19,Male,Year 2,Online/network test
study3_memory_data.csv,48,21,Female,Year 1,Online/network test
study3_memory_data.csv,49,19,Male,Year 1,Online/network test
study3_memory_data.csv,50,18,Female,Year 2,Online/network test
study3_memory_data.csv,51,21,Male,Year 1,Campus session
study3_memory_data.csv,52,21,Male,Year 3,Online/network test
study3_memory_data.csv,53,45,Female,Resident,Campus resident session
study3_memory_data.csv,54,21,Male,Year 3,Campus session
study3_memory_data.csv,55,18,Male,Year 2,Campus session
study3_memory_data.csv,56,19,Female,Year 1,Campus session
study3_memory_data.csv,57,20,Male,Year 2,Online/network test
study3_memory_data.csv,58,20,Female,Year 2,Online/network test
study3_memory_data.csv,59,19,Female,Year 2,Campus session
study3_memory_data.csv,60,23,Male,Year 2,Campus session
study3_memory_data.csv,61,34,Male,Resident,Campus resident session
study3_memory_data.csv,62,20,Female,Year 3,Campus session
study3_memory_data.csv,63,54,Male,Resident,Campus resident session
study3_memory_data.csv,64,22,Female,Year 3,Campus session
study3_memory_data.csv,65,20,Female,Year 2,Online/network test
study3_memory_data.csv,66,21,Female,Year 2,Campus session
study3_memory_data.csv,67,36,Female,Resident,Campus resident session
study3_memory_data.csv,68,21,Female,Year 2,Campus session
study3_memory_data.csv,69,19,Female,Year 3,Online/network test
study3_memory_data.csv,70,18,Female,Year 1,Campus session
study3_memory_data.csv,71,19,Male,Year 3,Online/network test
study3_memory_data.csv,72,21,Male,Year 2,Online/network test
study3_memory_data.csv,73,22,Male,Year 2,Online/network test
study3_memory_data.csv,74,39,Female,Resident,Campus resident session
study3_memory_data.csv,75,20,Male,Year 2,Campus session
study3_memory_data.csv,76,20,Female,Year 2,Online/network test
study3_memory_data.csv,77,21,Male,Year 1,Campus session
study3_memory_data.csv,78,22,Female,Year 3,Campus session
study3_memory_data.csv,79,20,Female,Year 2,Online/network test
study3_memory_data.csv,80,21,Male,Year 1,Campus session
study3_memory_data.csv,81,21,Male,Year 1,Campus session
study3_memory_data.csv,82,19,Female,Year 1,Online/network test
study3_memory_data.csv,83,21,Female,Year 3,Online/network test
study3_memory_data.csv,84,48,Female,Resident,Campus resident session
study3_memory_data.csv,85,32,Female,Resident,Campus resident session
study3_memory_data.csv,86,21,Male,Year 3,Campus session
study3_memory_data.csv,87,18,Male,Year 2,Campus session
study3_memory_data.csv,88,43,Male,Resident,Campus resident session
study3_memory_data.csv,89,20,Male,Year 2,Online/network test
study3_memory_data.csv,90,20,Female,Year 2,Online/network test
study3_memory_data.csv,91,19,Male,Year 1,Campus session
study3_memory_data.csv,92,18,Female,Year 1,Campus session
study3_memory_data.csv,93,18,Female,Year 1,Online/network test
study3_memory_data.csv,94,18,Female,Year 1,Online/network test
study3_memory_data.csv,95,19,Female,Year 2,Online/network test
study3_memory_data.csv,96,20,Male,Year 2,Online/network test
study3_memory_data.csv,97,23,Female,Year 2,Online/network test
study3_memory_data.csv,98,20,Female,Year 3,Online/network test
study3_memory_data.csv,99,19,Female,Year 3,Campus session
study3_memory_data.csv,100,24,Male,Year 1,Online/network test
study3_memory_data.csv,101,19,Female,Year 1,Campus session
study3_memory_data.csv,102,19,Male,Year 1,Campus session
study3_memory_data.csv,103,22,Male,Year 2,Online/network test
study3_memory_data.csv,104,20,Female,Year 2,Campus session
study3_memory_data.csv,105,19,Female,Year 2,Online/network test
study3_memory_data.csv,106,21,Male,Year 1,Campus session
study3_memory_data.csv,107,19,Female,Year 1,Campus session
study3_memory_data.csv,108,18,Female,Year 2,Campus session
study3_memory_data.csv,109,21,Female,Year 3,Campus session
study3_memory_data.csv,110,18,Female,Year 3,Online/network test
study3_memory_data.csv,111,21,Female,Year 1,Campus session
study3_memory_data.csv,112,20,Male,Year 2,Campus session
study3_memory_data.csv,113,20,Female,Year 2,Campus session
study3_memory_data.csv,114,20,Male,Year 3,Campus session
study3_memory_data.csv,115,18,Female,Year 3,Campus session
study3_memory_data.csv,116,21,Female,Year 1,Campus session
study3_memory_data.csv,117,20,Female,Year 2,Campus session
study3_memory_data.csv,118,22,Female,Year 2,Campus session
study3_memory_data.csv,119,22,Female,Year 2,Online/network test
study3_memory_data.csv,120,53,Female,Resident,Campus resident session
study3_memory_data.csv,121,29,Male,Resident,Campus resident session
study3_memory_data.csv,122,20,Female,Year 2,Campus session
study3_memory_data.csv,123,44,Male,Resident,Campus resident session
study3_memory_data.csv,124,18,Male,Year 3,Campus session
study3_memory_data.csv,125,21,Female,Year 2,Online/network test
study3_memory_data.csv,126,20,Female,Year 3,Online/network test
study3_memory_data.csv,127,44,Female,Resident,Campus resident session
study3_memory_data.csv,128,18,Female,Year 3,Campus session
study3_memory_data.csv,129,46,Male,Resident,Campus resident session
study3_memory_data.csv,130,21,Prefer not to say,Year 2,Online/network test
study3_memory_data.csv,131,20,Male,Year 3,Campus session
study3_memory_data.csv,132,19,Female,Year 1,Online/network test
study3_memory_data.csv,133,32,Female,Resident,Campus resident session
study3_memory_data.csv,134,19,Male,Year 2,Online/network test
study3_memory_data.csv,135,18,Female,Year 1,Online/network test
study3_memory_data.csv,136,20,Male,Year 3,Online/network test
study3_memory_data.csv,137,19,Female,Year 2,Online/network test
study3_memory_data.csv,138,20,Female,Year 2,Online/network test
study3_memory_data.csv,139,31,Male,Resident,Campus resident session
study3_memory_data.csv,140,20,Female,Year 3,Campus session
study3_memory_data.csv,141,19,Male,Year 3,Campus session
study3_memory_data.csv,142,21,Female,Year 2,Online/network test
study3_memory_data.csv,143,46,Male,Resident,Campus resident session
study3_memory_data.csv,144,20,Female,Year 1,Campus session
study3_memory_data.csv,145,44,Female,Resident,Campus resident session
study3_memory_data.csv,146,20,Male,Year 2,Online/network test
study3_memory_data.csv,147,43,Female,Resident,Campus resident session
study3_memory_data.csv,148,19,Female,Year 3,Campus session
study3_memory_data.csv,149,18,Female,Year 2,Campus session
study3_memory_data.csv,150,44,Female,Resident,Campus resident session
study3_memory_data.csv,151,35,Female,Resident,Campus resident session
study3_memory_data.csv,152,20,Female,Year 1,Campus session
study3_memory_data.csv,153,18,Male,Year 1,Online/network test
study3_memory_data.csv,154,43,Female,Resident,Campus resident session
study3_memory_data.csv,155,44,Male,Resident,Campus resident session
study3_memory_data.csv,156,21,Male,Year 2,Online/network test
study3_memory_data.csv,157,19,Male,Year 1,Campus session
study3_memory_data.csv,158,20,Female,Year 3,Campus session
study3_memory_data.csv,159,19,Prefer not to say,Year 3,Campus session
study3_memory_data.csv,160,19,Male,Year 2,Online/network test
study3_memory_data.csv,161,36,Male,Resident,Campus resident session
study3_memory_data.csv,162,19,Female,Year 3,Campus session
study3_memory_data.csv,163,18,Male,Year 2,Campus session
study3_memory_data.csv,164,56,Male,Resident,Campus resident session
study3_memory_data.csv,165,20,Female,Year 3,Campus session
study3_memory_data.csv,166,20,Female,Year 2,Online/network test
study3_memory_data.csv,167,45,Male,Resident,Campus resident session
study3_memory_data.csv,168,21,Male,Year 1,Campus session
study3_memory_data.csv,169,32,Female,Resident,Campus resident session
study3_memory_data.csv,170,20,Male,Year 1,Online/network test
study3_memory_data.csv,171,18,Female,Year 2,Campus session
study3_memory_data.csv,172,19,Female,Year 3,Campus session
study3_memory_data.csv,173,47,Female,Resident,Campus resident session
study3_memory_data.csv,174,35,Male,Resident,Campus resident session
study3_memory_data.csv,175,21,Female,Year 2,Online/network test
study3_memory_data.csv,176,20,Male,Year 1,Campus session
study3_memory_data.csv,177,20,Female,Year 2,Campus session
study3_memory_data.csv,178,19,Female,Year 3,Online/network test
study3_memory_data.csv,179,19,Female,Year 2,Online/network test
study3_memory_data.csv,180,21,Female,Year 2,Online/network test
study3_memory_data.csv,181,20,Female,Year 1,Online/network test
study3_memory_data.csv,182,22,Male,Year 3,Campus session
study3_memory_data.csv,183,48,Female,Resident,Campus resident session
study3_memory_data.csv,184,22,Male,Year 3,Campus session
study3_memory_data.csv,185,51,Female,Resident,Campus resident session
study3_memory_data.csv,186,19,Female,Year 1,Campus session
study3_memory_data.csv,187,20,Female,Year 2,Campus session
study3_memory_data.csv,188,19,Male,Year 3,Online/network test
study3_memory_data.csv,189,35,Female,Resident,Campus resident session
study3_memory_data.csv,190,23,Female,Year 1,Campus session
study3_memory_data.csv,191,18,Male,Year 3,Campus session
study3_memory_data.csv,192,20,Female,Year 2,Campus session
study3_memory_data.csv,193,19,Male,Year 2,Online/network test
study3_memory_data.csv,194,18,Prefer not to say,Year 2,Campus session
study3_memory_data.csv,195,21,Female,Year 1,Online/network test
study3_memory_data.csv,196,18,Female,Year 1,Online/network test
study3_memory_data.csv,197,20,Female,Year 3,Campus session
study3_memory_data.csv,198,20,Female,Year 2,Campus session
study3_memory_data.csv,199,19,Male,Year 3,Online/network test
study3_memory_data.csv,200,18,Female,Year 3,Campus session
study3_memory_data.csv,201,20,Female,Year 1,Online/network test
study3_memory_data.csv,202,22,Female,Year 2,Campus session
study3_memory_data.csv,203,49,Male,Resident,Campus resident session
study3_memory_data.csv,204,20,Female,Year 2,Campus session
study3_memory_data.csv,205,21,Female,Year 2,Online/network test
study3_memory_data.csv,206,19,Female,Year 1,Campus session
study3_memory_data.csv,207,24,Male,Year 2,Campus session
study3_memory_data.csv,208,45,Female,Resident,Campus resident session
study3_memory_data.csv,209,20,Male,Year 2,Campus session
study3_memory_data.csv,210,20,Male,Year 2,Campus session
study3_memory_data.csv,211,48,Female,Resident,Campus resident session
study3_memory_data.csv,212,19,Male,Year 1,Campus session
study3_memory_data.csv,213,20,Male,Year 1,Campus session
study3_memory_data.csv,214,21,Female,Year 1,Campus session
study3_memory_data.csv,215,21,Female,Year 2,Online/network test
study3_memory_data.csv,216,21,Male,Year 1,Online/network test
study3_memory_data.csv,217,20,Female,Year 2,Campus session
study3_memory_data.csv,218,18,Male,Year 2,Campus session
study3_memory_data.csv,219,20,Male,Year 3,Campus session
study3_memory_data.csv,220,58,Male,Resident,Campus resident session
study3_memory_data.csv,221,20,Female,Year 1,Online/network test
study3_memory_data.csv,222,40,Female,Resident,Campus resident session
study3_memory_data.csv,223,20,Female,Year 3,Campus session
study3_memory_data.csv,224,20,Female,Year 1,Online/network test
study3_memory_data.csv,225,22,Female,Year 1,Campus session
study3_memory_data.csv,226,36,Male,Resident,Campus resident session
study3_memory_data.csv,227,19,Female,Year 1,Online/network test
study3_memory_data.csv,228,36,Male,Resident,Campus resident session
study3_memory_data.csv,229,22,Female,Year 1,Campus session
study3_memory_data.csv,230,22,Male,Year 3,Online/network test
study3_memory_data.csv,231,19,Male,Year 2,Campus session
study3_memory_data.csv,232,21,Male,Year 1,Online/network test
study3_memory_data.csv,233,35,Female,Resident,Campus resident session
study3_memory_data.csv,234,21,Female,Year 1,Online/network test
study3_memory_data.csv,235,21,Male,Year 1,Online/network test
study3_memory_data.csv,236,20,Female,Year 2,Online/network test
study3_memory_data.csv,237,20,Male,Year 2,Campus session
study3_memory_data.csv,238,41,Female,Resident,Campus resident session
study3_memory_data.csv,239,20,Male,Year 1,Campus session
study3_memory_data.csv,240,22,Female,Year 1,Online/network test
study3_memory_data.csv,241,19,Female,Year 1,Campus session
study3_memory_data.csv,242,21,Female,Year 3,Campus session
study3_memory_data.csv,243,20,Male,Year 3,Online/network test
study3_memory_data.csv,244,21,Female,Year 2,Campus session
study3_memory_data.csv,245,20,Female,Year 3,Campus session
study3_memory_data.csv,246,19,Male,Year 2,Online/network test
study3_memory_data.csv,247,21,Female,Year 2,Campus session
study3_memory_data.csv,248,19,Prefer not to say,Year 1,Online/network test
study3_memory_data.csv,249,19,Female,Year 1,Campus session
study3_memory_data.csv,250,19,Female,Year 1,Online/network test
study3_memory_data.csv,251,44,Male,Resident,Campus resident session
study3_memory_data.csv,252,21,Male,Year 2,Campus session
study3_memory_data.csv,253,44,Male,Resident,Campus resident session
study3_memory_data.csv,254,21,Male,Year 1,Online/network test
study3_memory_data.csv,255,48,Female,Resident,Campus resident session
study3_memory_data.csv,256,42,Female,Resident,Campus resident session
study3_memory_data.csv,257,20,Female,Year 3,Campus session
study3_memory_data.csv,258,21,Male,Year 1,Online/network test
study3_memory_data.csv,259,18,Female,Year 1,Campus session
study3_memory_data.csv,260,54,Male,Resident,Campus resident session
study3_memory_data.csv,261,39,Female,Resident,Campus resident session
study3_memory_data.csv,262,20,Male,Year 2,Campus session
study3_memory_data.csv,263,19,Male,Year 2,Campus session
study3_memory_data.csv,264,19,Male,Year 2,Campus session
study3_memory_data.csv,265,20,Female,Year 2,Online/network test
study3_memory_data.csv,266,21,Female,Year 2,Campus session
study3_memory_data.csv,267,22,Male,Year 1,Campus session
study3_memory_data.csv,268,18,Female,Year 1,Online/network test
study3_memory_data.csv,269,64,Male,Resident,Campus resident session
study3_memory_data.csv,270,19,Male,Year 3,Online/network test
study3_memory_data.csv,271,46,Male,Resident,Campus resident session
study3_memory_data.csv,272,36,Female,Resident,Campus resident session
study3_memory_data.csv,273,33,Male,Resident,Campus resident session
study3_memory_data.csv,274,20,Female,Year 2,Online/network test
study3_memory_data.csv,275,20,Female,Year 2,Online/network test
study3_memory_data.csv,276,45,Female,Resident,Campus resident session
study3_memory_data.csv,277,40,Female,Resident,Campus resident session
study3_memory_data.csv,278,19,Male,Year 2,Campus session
study3_memory_data.csv,279,20,Male,Year 1,Online/network test
study3_memory_data.csv,280,20,Female,Year 2,Online/network test
study3_memory_data.csv,281,20,Male,Year 3,Campus session
study3_memory_data.csv,282,19,Female,Year 3,Campus session
study3_memory_data.csv,283,21,Female,Year 2,Campus session
study3_memory_data.csv,284,21,Male,Year 2,Campus session
study3_memory_data.csv,285,21,Male,Year 1,Online/network test
study3_memory_data.csv,286,19,Female,Year 1,Campus session
study3_memory_data.csv,287,19,Female,Year 3,Campus session
study3_memory_data.csv,288,21,Male,Year 2,Campus session
study3_memory_data.csv,289,21,Female,Year 1,Campus session
study3_memory_data.csv,290,47,Female,Resident,Campus resident session
study3_memory_data.csv,291,19,Female,Year 1,Campus session
study3_memory_data.csv,292,22,Female,Year 1,Campus session
study3_memory_data.csv,293,21,Male,Year 3,Online/network test
study3_memory_data.csv,294,18,Female,Year 3,Campus session
study3_memory_data.csv,295,45,Male,Resident,Campus resident session
study3_memory_data.csv,296,21,Female,Year 1,Campus session
study3_memory_data.csv,297,20,Female,Year 3,Campus session
study3_memory_data.csv,298,19,Female,Year 2,Online/network test
study3_memory_data.csv,299,20,Female,Year 3,Online/network test
study3_memory_data.csv,300,41,Male,Resident,Campus resident session
study3_memory_data.csv,301,19,Female,Year 1,Campus session
study3_memory_data.csv,302,35,Female,Resident,Campus resident session
study3_memory_data.csv,303,30,Female,Resident,Campus resident session
study3_memory_data.csv,304,21,Female,Year 3,Campus session
study3_memory_data.csv,305,21,Male,Year 1,Campus session
study3_memory_data.csv,306,20,Male,Year 1,Online/network test
study3_memory_data.csv,307,22,Female,Year 2,Campus session
study3_memory_data.csv,308,19,Female,Year 2,Campus session
study3_memory_data.csv,309,20,Male,Year 2,Online/network test
study3_memory_data.csv,310,19,Female,Year 2,Online/network test
study3_memory_data.csv,311,20,Female,Year 1,Campus session
study3_memory_data.csv,312,38,Female,Resident,Campus resident session
study3_memory_data.csv,313,21,Female,Year 3,Campus session
study3_memory_data.csv,314,20,Female,Year 2,Campus session
study3_memory_data.csv,315,47,Female,Resident,Campus resident session
study3_memory_data.csv,316,19,Male,Year 3,Online/network test
study3_memory_data.csv,317,18,Female,Year 2,Campus session
study3_memory_data.csv,318,19,Female,Year 2,Online/network test
study3_memory_data.csv,319,21,Female,Year 1,Campus session
study3_memory_data.csv,320,20,Male,Year 1,Online/network test
study3_memory_data.csv,321,19,Male,Year 3,Campus session
study3_memory_data.csv,322,19,Male,Year 3,Campus session
study3_memory_data.csv,323,20,Female,Year 1,Online/network test
study3_memory_data.csv,324,21,Female,Year 2,Campus session
study3_memory_data.csv,325,19,Female,Year 3,Campus session
study3_memory_data.csv,326,22,Prefer not to say,Year 3,Online/network test
study3_memory_data.csv,327,19,Female,Year 3,Campus session
study3_memory_data.csv,328,20,Male,Year 2,Online/network test
study3_memory_data.csv,329,22,Male,Year 1,Online/network test
study3_memory_data.csv,330,43,Male,Resident,Campus resident session
study3_memory_data.csv,331,32,Male,Resident,Campus resident session
study3_memory_data.csv,332,19,Female,Year 3,Campus session
study3_memory_data.csv,333,18,Female,Year 3,Campus session
study3_memory_data.csv,334,18,Female,Year 3,Online/network test
study3_memory_data.csv,335,20,Female,Year 3,Campus session
study3_memory_data.csv,336,20,Female,Year 2,Online/network test
study3_memory_data.csv,337,43,Male,Resident,Campus resident session
study3_memory_data.csv,338,45,Male,Resident,Campus resident session
study3_memory_data.csv,339,20,Female,Year 3,Campus session
study3_memory_data.csv,340,19,Female,Year 1,Online/network test
study3_memory_data.csv,341,19,Male,Year 2,Campus session
study3_memory_data.csv,342,23,Female,Year 1,Campus session
study3_memory_data.csv,343,35,Male,Resident,Campus resident session
study3_memory_data.csv,344,18,Male,Year 1,Campus session
study3_memory_data.csv,345,43,Female,Resident,Campus resident session
study3_memory_data.csv,346,18,Male,Year 3,Campus session
study3_memory_data.csv,347,21,Male,Year 3,Campus session
study3_memory_data.csv,348,42,Female,Resident,Campus resident session
study3_memory_data.csv,349,21,Male,Year 1,Online/network test
study3_memory_data.csv,350,20,Male,Year 1,Campus session
study3_memory_data.csv,351,21,Male,Year 1,Online/network test
study3_memory_data.csv,352,33,Female,Resident,Campus resident session
study3_memory_data.csv,353,21,Female,Year 3,Campus session
study3_memory_data.csv,354,20,Female,Year 1,Campus session
study3_memory_data.csv,355,20,Male,Year 3,Online/network test
study3_memory_data.csv,356,22,Female,Year 1,Campus session
study3_memory_data.csv,357,20,Male,Year 2,Campus session
study3_memory_data.csv,358,22,Female,Year 3,Campus session
study3_memory_data.csv,359,21,Male,Year 3,Campus session
study3_memory_data.csv,360,44,Male,Resident,Campus resident session
study3_memory_data.csv,361,20,Male,Year 3,Online/network test
study3_memory_data.csv,362,47,Female,Resident,Campus resident session
study3_memory_data.csv,363,19,Male,Year 1,Online/network test
study3_memory_data.csv,364,50,Female,Resident,Campus resident session
study3_memory_data.csv,365,21,Female,Year 3,Online/network test
study3_memory_data.csv,366,22,Female,Year 2,Campus session
study3_memory_data.csv,367,20,Female,Year 2,Online/network test
study3_memory_data.csv,368,19,Female,Year 1,Campus session
study3_memory_data.csv,369,19,Female,Year 1,Campus session
study3_memory_data.csv,370,19,Female,Year 1,Online/network test
study3_memory_data.csv,371,21,Male,Year 3,Campus session
study3_memory_data.csv,372,20,Female,Year 2,Campus session
study3_memory_data.csv,373,50,Female,Resident,Campus resident session
study3_memory_data.csv,374,18,Female,Year 3,Campus session
study3_memory_data.csv,375,21,Female,Year 3,Campus session
study3_memory_data.csv,376,21,Female,Year 2,Online/network test
study3_memory_data.csv,377,31,Female,Resident,Campus resident session
study3_memory_data.csv,378,34,Male,Resident,Campus resident session
study3_memory_data.csv,379,19,Female,Year 1,Online/network test
study3_memory_data.csv,380,19,Female,Year 1,Campus session
study3_memory_data.csv,381,21,Female,Year 1,Online/network test
study3_memory_data.csv,382,21,Male,Year 2,Campus session
study3_memory_data.csv,383,18,Female,Year 2,Campus session
study3_memory_data.csv,384,19,Female,Year 3,Online/network test
study3_memory_data.csv,385,20,Male,Year 3,Campus session
study3_memory_data.csv,386,19,Female,Year 3,Online/network test
study3_memory_data.csv,387,19,Prefer not to say,Year 2,Campus session
study3_memory_data.csv,388,46,Male,Resident,Campus resident session
study3_memory_data.csv,389,46,Male,Resident,Campus resident session
study3_memory_data.csv,390,21,Female,Year 3,Campus session
study3_memory_data.csv,391,46,Male,Resident,Campus resident session
study3_memory_data.csv,392,74,Female,Resident,Campus resident session
study3_memory_data.csv,393,46,Female,Resident,Campus resident session
study3_memory_data.csv,394,19,Prefer not to say,Year 3,Online/network test
study3_memory_data.csv,395,21,Male,Year 3,Online/network test
study3_memory_data.csv,396,20,Prefer not to say,Year 1,Campus session
study3_memory_data.csv,397,18,Female,Year 1,Campus session
study3_memory_data.csv,398,19,Male,Year 3,Campus session
study3_memory_data.csv,399,50,Female,Resident,Campus resident session
study3_memory_data.csv,400,22,Male,Year 1,Online/network test
study3_memory_data.csv,401,21,Female,Year 3,Online/network test
study3_memory_data.csv,402,18,Female,Year 3,Campus session
study3_memory_data.csv,403,49,Female,Resident,Campus resident session
study3_memory_data.csv,404,19,Male,Year 1,Online/network test
study3_memory_data.csv,405,19,Male,Year 3,Campus session
study3_memory_data.csv,406,21,Female,Year 1,Online/network test
study3_memory_data.csv,407,20,Female,Year 3,Online/network test
study3_memory_data.csv,408,47,Female,Resident,Campus resident session
study3_memory_data.csv,409,39,Male,Resident,Campus resident session
study3_memory_data.csv,410,19,Female,Year 3,Online/network test
study4_memory_data.csv,1,47,Female,Resident,Campus resident session
study4_memory_data.csv,2,20,Male,Year 1,Campus session
study4_memory_data.csv,3,18,Female,Year 2,Campus session
study4_memory_data.csv,4,20,Male,Year 1,Campus session
study4_memory_data.csv,5,35,Male,Resident,Campus resident session
study4_memory_data.csv,6,20,Male,Year 2,Campus session
study4_memory_data.csv,7,40,Female,Resident,Campus resident session
study4_memory_data.csv,8,20,Male,Year 2,Campus session
study4_memory_data.csv,9,38,Male,Resident,Campus resident session
study4_memory_data.csv,10,42,Female,Resident,Campus resident session
study4_memory_data.csv,11,18,Male,Year 1,Campus session
