Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Memory_Code,MBF,PrivacyTrust_Item1,PrivacyTrust_Item2,PrivacyTrust_Item3,Loyalty_Item1,Loyalty_Item2,Loyalty_Item3,OptIn_Item1,OptIn_Item2,OptIn_Item3,PlatformTrust_Item1,PlatformTrust_Item2,PlatformTrust_Item3
250,20,Female,Year 1,Campus session,Relevant Memory,3,2.667,3,3,3,4,2,4,6,5,5,5,5,4
251,48,Female,Resident,Campus resident session,Relevant Memory,3,4.667,3,5,4,5,5,5,5,6,5,5,5,6
252,21,Female,Year 2,Online/network test,Relevant Memory,3,4.333,6,5,6,7,7,7,5,7,7,5,5,5
253,25,Female,Resident,Campus resident session,Relevant Memory,3,4.333,5,5,4,5,4,5,4,4,3,4,2,3
254,43,Female,Resident,Campus resident session,Relevant Memory,3,4.333,4,3,3,4,4,4,4,3,4,5,6,5
255,20,Female,Year 3,Online/network test,Relevant Memory,3,5.667,5,4,4,4,4,3,4,5,5,6,5,4
256,20,Female,Year 3,Campus session,Relevant Memory,3,5.333,6,5,6,5,5,6,6,5,6,6,5,6
257,19,Female,Year 1,Campus session,Relevant Memory,3,3.667,3,3,3,5,5,5,5,5,5,2,3,3
258,21,Female,Year 3,Online/network test,Relevant Memory,3,3.667,5,6,6,7,5,6,6,6,6,3,2,2
259,20,Female,Year 2,Campus session,Relevant Memory,3,3.333,4,4,4,5,4,5,4,4,4,4,3,3
260,23,Female,Year 2,Online/network test,Relevant Memory,3,5.0,4,4,4,5,5,5,6,4,5,3,4,3
261,20,Male,Year 3,Online/network test,Relevant Memory,3,4.333,5,5,5,4,6,5,5,5,6,4,4,5
262,23,Female,Year 2,Online/network test,Relevant Memory,3,4.333,5,4,6,5,6,3,4,4,4,6,5,5
263,22,Female,Year 1,Online/network test,Relevant Memory,3,4.333,4,4,4,5,5,5,5,5,5,7,6,6
264,48,Male,Resident,Campus resident session,Relevant Memory,3,5.0,4,4,4,5,5,4,4,4,6,5,3,5
265,29,Female,Resident,Campus resident session,Relevant Memory,3,2.0,2,1,3,2,3,3,4,3,3,3,5,5
266,51,Male,Resident,Campus resident session,Relevant Memory,3,5.333,5,6,5,6,5,6,5,5,4,5,5,3
267,20,Male,Year 1,Online/network test,Relevant Memory,3,5.333,4,5,3,5,5,5,7,5,7,5,6,5
268,21,Female,Year 1,Campus session,Relevant Memory,3,4.333,3,4,4,5,3,5,4,6,5,4,5,4
269,19,Female,Year 3,Campus session,Relevant Memory,3,4.667,4,6,6,5,5,5,4,5,5,3,3,3
270,44,Female,Resident,Campus resident session,Relevant Memory,3,5.0,5,5,5,4,4,4,5,4,4,4,5,5
271,38,Female,Resident,Campus resident session,Relevant Memory,3,5.333,4,5,6,4,4,4,4,4,3,4,2,4
272,19,Female,Year 3,Campus session,Relevant Memory,3,1.667,3,3,3,3,5,3,3,2,2,2,2,4
273,21,Male,Year 2,Online/network test,Relevant Memory,3,6.667,6,5,6,5,5,5,6,5,6,6,6,5
274,46,Male,Resident,Campus resident session,Relevant Memory,3,4.667,5,6,7,5,5,6,5,5,5,4,5,4
275,21,Male,Year 1,Online/network test,Relevant Memory,3,4.0,3,3,3,5,4,5,2,3,3,4,5,5
276,60,Male,Resident,Campus resident session,Relevant Memory,3,4.667,6,4,5,6,5,5,3,5,5,4,4,4
277,20,Female,Year 3,Online/network test,Relevant Memory,3,4.333,4,5,4,3,2,3,6,6,7,2,4,3
278,18,Female,Year 1,Campus session,Relevant Memory,3,4.667,6,5,5,5,5,4,5,5,6,3,3,4
279,19,Female,Year 1,Online/network test,Relevant Memory,3,3.0,4,4,4,3,3,4,4,6,5,4,5,5
280,43,Female,Resident,Campus resident session,Relevant Memory,3,6.667,5,4,5,4,5,5,5,5,5,5,5,5
281,43,Female,Resident,Campus resident session,Relevant Memory,3,4.333,3,3,3,6,5,5,5,3,3,5,5,5
282,38,Female,Resident,Campus resident session,Relevant Memory,3,6.0,6,5,5,3,4,4,3,3,3,4,4,4
283,20,Male,Year 2,Online/network test,Relevant Memory,3,4.0,4,4,3,4,4,4,6,5,5,5,3,5
284,20,Female,Year 2,Campus session,Relevant Memory,3,6.333,4,4,4,5,6,6,6,5,5,5,7,5
285,21,Male,Year 1,Online/network test,Relevant Memory,3,5.0,5,5,6,5,6,4,5,5,5,4,3,4
286,35,Male,Resident,Campus resident session,Relevant Memory,3,5.333,3,4,4,5,5,5,3,4,5,3,5,4
287,21,Female,Year 3,Campus session,Relevant Memory,3,4.0,4,5,5,5,6,6,5,5,5,5,4,4
288,48,Female,Resident,Campus resident session,Relevant Memory,3,5.667,5,5,5,5,6,5,6,5,5,5,4,5
289,35,Female,Resident,Campus resident session,Relevant Memory,3,5.667,4,6,5,4,5,4,4,5,4,3,3,3
290,20,Female,Year 3,Campus session,Relevant Memory,3,6.0,5,6,5,4,5,6,6,6,6,5,4,4
291,42,Female,Resident,Campus resident session,Relevant Memory,3,3.667,2,4,3,6,4,4,3,4,3,4,4,4
292,21,Male,Year 3,Online/network test,Relevant Memory,3,4.0,2,3,1,4,3,3,3,4,4,5,5,5
293,38,Male,Resident,Campus resident session,Relevant Memory,3,6.667,5,6,5,5,5,5,5,4,4,4,4,5
294,45,Female,Resident,Campus resident session,Relevant Memory,3,3.0,5,4,4,3,3,4,7,5,6,3,2,4
295,44,Male,Resident,Campus resident session,Relevant Memory,3,5.0,5,5,4,5,4,4,6,4,5,4,2,2
296,19,Female,Year 3,Campus session,Relevant Memory,3,5.667,4,3,5,7,6,6,6,5,4,5,5,5
297,50,Male,Resident,Campus resident session,Relevant Memory,3,5.333,4,4,5,5,4,5,4,5,4,4,5,5
298,22,Female,Year 2,Online/network test,Relevant Memory,3,5.667,5,5,6,7,7,7,4,4,5,3,4,3
299,19,Male,Year 3,Campus session,Relevant Memory,3,4.333,4,3,4,5,6,4,4,4,4,3,5,4
300,21,Male,Year 1,Campus session,Relevant Memory,3,5.667,6,6,4,6,5,5,4,4,4,5,4,5
301,20,Female,Year 3,Campus session,Relevant Memory,3,3.333,2,3,1,4,3,4,4,4,4,4,2,4
302,19,Male,Year 3,Online/network test,Relevant Memory,3,6.333,6,5,5,6,6,5,5,5,4,5,4,5
303,21,Female,Year 2,Online/network test,Relevant Memory,3,4.667,5,3,5,3,5,5,6,5,5,4,4,5
304,22,Male,Year 2,Campus session,Relevant Memory,3,4.333,3,4,5,6,6,6,6,6,5,4,4,5
305,37,Female,Resident,Campus resident session,Relevant Memory,3,5.333,4,4,4,5,4,4,5,6,5,3,4,4
306,20,Male,Year 2,Campus session,Relevant Memory,3,4.0,3,3,4,4,2,3,3,5,4,6,6,5
307,20,Male,Year 2,Campus session,Relevant Memory,3,3.667,6,5,5,6,5,5,6,5,5,4,4,5
308,20,Female,Year 1,Online/network test,Relevant Memory,3,3.333,4,4,5,5,6,5,6,5,5,2,2,3
309,39,Female,Resident,Campus resident session,Relevant Memory,3,5.333,5,5,5,5,5,4,5,5,5,3,3,4
310,21,Male,Year 1,Campus session,Relevant Memory,3,4.667,5,5,5,5,6,4,4,4,4,4,3,4
311,20,Male,Year 1,Online/network test,Relevant Memory,3,5.0,4,4,5,4,4,3,4,5,5,4,5,5
312,19,Female,Year 3,Campus session,Relevant Memory,3,5.667,6,7,7,5,6,5,6,7,7,5,6,4
313,34,Male,Resident,Campus resident session,Relevant Memory,3,3.333,5,6,5,5,5,5,6,6,5,4,5,4
314,22,Male,Year 2,Online/network test,Relevant Memory,3,4.0,4,4,3,4,4,4,4,3,4,4,4,6
315,38,Male,Resident,Campus resident session,Relevant Memory,3,4.0,4,3,4,3,3,3,3,4,3,3,3,2
316,18,Female,Year 3,Online/network test,Relevant Memory,3,5.0,5,4,3,4,6,6,4,4,4,5,4,4
317,44,Male,Resident,Campus resident session,Relevant Memory,3,4.0,5,5,5,5,5,4,5,4,5,2,2,2
318,47,Female,Resident,Campus resident session,Relevant Memory,3,4.667,3,3,4,4,3,3,5,4,6,5,5,5
319,34,Female,Resident,Campus resident session,Relevant Memory,3,4.333,4,3,3,4,4,3,6,7,5,6,3,5
320,21,Female,Year 2,Online/network test,Relevant Memory,3,5.0,7,6,5,5,5,5,6,6,5,5,5,5
321,19,Male,Year 2,Campus session,Relevant Memory,3,4.0,6,6,6,3,4,4,6,5,5,5,3,4
322,48,Male,Resident,Campus resident session,Relevant Memory,3,3.333,4,5,4,6,6,6,7,5,5,4,4,4
323,22,Prefer not to say,Year 3,Online/network test,Relevant Memory,3,5.333,6,5,4,4,3,6,5,5,5,5,4,5
324,21,Male,Year 1,Online/network test,Relevant Memory,3,4.0,5,6,4,5,6,6,5,4,4,5,5,5
325,54,Female,Resident,Campus resident session,Relevant Memory,3,4.0,4,3,4,5,6,5,3,4,4,2,2,2
326,45,Female,Resident,Campus resident session,Relevant Memory,3,5.0,4,6,5,5,3,4,4,5,5,4,4,5
327,56,Female,Resident,Campus resident session,Relevant Memory,3,4.667,5,5,3,4,4,3,4,4,3,4,4,4
328,20,Female,Year 1,Online/network test,Relevant Memory,3,6.333,5,5,5,6,5,4,7,7,7,5,4,5
329,20,Female,Year 2,Online/network test,Relevant Memory,3,3.667,3,2,4,2,2,2,6,5,3,4,5,5
330,19,Female,Year 3,Online/network test,Relevant Memory,3,4.333,4,4,4,4,4,3,4,5,5,4,5,4
331,35,Male,Resident,Campus resident session,Relevant Memory,3,5.333,5,5,6,5,4,5,4,4,6,3,4,4
332,21,Female,Year 3,Online/network test,Relevant Memory,3,3.333,3,4,3,5,5,4,3,2,2,5,4,4
333,32,Male,Resident,Campus resident session,Relevant Memory,3,6.0,5,4,4,5,4,4,4,6,5,5,5,5
334,27,Female,Resident,Campus resident session,Relevant Memory,3,3.333,4,5,5,5,6,5,4,5,4,4,5,5
335,21,Male,Year 2,Campus session,Relevant Memory,3,3.0,4,4,5,6,5,7,4,5,4,4,4,4
336,20,Male,Year 3,Online/network test,Relevant Memory,3,5.333,3,4,4,4,3,4,5,5,6,5,6,4
337,19,Male,Year 1,Campus session,Relevant Memory,3,3.0,3,2,2,3,4,3,4,4,4,1,1,2
338,56,Male,Resident,Campus resident session,Relevant Memory,3,4.667,4,5,6,5,5,5,5,6,5,4,3,4
339,21,Female,Year 2,Online/network test,Relevant Memory,3,4.667,6,5,5,7,7,7,5,4,6,3,4,4
340,20,Male,Year 3,Online/network test,Relevant Memory,3,6.667,5,5,6,5,5,4,4,6,5,5,5,5
341,21,Male,Year 2,Online/network test,Relevant Memory,3,5.667,4,4,4,4,5,6,4,4,3,6,5,6
342,19,Female,Year 3,Campus session,Relevant Memory,3,4.333,4,4,4,2,3,2,4,4,4,3,2,3
343,47,Female,Resident,Campus resident session,Relevant Memory,3,3.667,3,3,3,5,4,4,4,4,6,4,3,3
