Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,MBF,Trans_Item1,Trans_Item2,Trans_Item3,DataShare_Item1,DataShare_Item2,DataShare_Item3,Rel_Item1,Rel_Item2,Rel_Item3
299,18,Female,Year 2,Online/network test,Relevant Memory,4.667,4,4,5,5,7,5,5,5,5
300,29,Female,Resident,Campus resident session,Relevant Memory,4.667,3,3,4,5,6,5,5,3,4
301,21,Male,Year 2,Campus session,Relevant Memory,5,5,5,6,5,5,4,5,4,5
302,43,Male,Resident,Campus resident session,Relevant Memory,5.333,6,6,6,6,6,7,4,4,3
303,36,Female,Resident,Campus resident session,Relevant Memory,5.667,7,6,7,5,6,6,4,4,4
304,19,Female,Year 2,Campus session,Relevant Memory,5.667,3,5,4,4,4,5,4,4,4
305,20,Female,Year 1,Campus session,Relevant Memory,5,3,5,4,5,6,6,5,5,6
306,18,Male,Year 1,Online/network test,Relevant Memory,4.667,6,5,7,5,4,4,6,5,5
307,30,Female,Resident,Campus resident session,Relevant Memory,6,4,4,6,5,6,4,6,7,6
308,21,Female,Year 2,Online/network test,Relevant Memory,5.333,7,7,7,5,6,7,5,6,5
309,36,Female,Resident,Campus resident session,Relevant Memory,7,4,4,5,7,6,5,4,6,5
310,33,Female,Resident,Campus resident session,Relevant Memory,4.333,4,5,5,5,5,6,3,4,2
311,20,Female,Year 2,Online/network test,Relevant Memory,6,4,4,4,5,6,5,5,5,3
312,18,Female,Year 1,Campus session,Relevant Memory,6.333,5,5,6,3,4,4,6,7,6
313,56,Male,Resident,Campus resident session,Relevant Memory,4.667,5,5,4,4,4,4,5,5,5
314,22,Female,Year 1,Campus session,Relevant Memory,6.333,3,5,4,4,4,3,4,4,3
315,48,Male,Resident,Campus resident session,Relevant Memory,6.667,7,7,7,4,4,4,5,5,4
316,20,Female,Year 2,Campus session,Relevant Memory,5.333,5,5,4,6,6,6,6,5,5
317,20,Female,Year 3,Campus session,Relevant Memory,5.667,4,4,4,5,5,7,5,4,4
318,41,Male,Resident,Campus resident session,Relevant Memory,5.333,6,4,5,5,4,4,4,5,5
